created_at,currency,net asset value,unrealized pnl,realized pnl,balance
2022-11-03 00:00:40.138624+00,,4993.354519,0,-1,4993.354519
2022-11-03 00:05:23.080188+00,,4993.238391,0,-1,4993.238391
2022-11-03 00:10:24.152839+00,,4993.238391,0,-1,4993.238391
2022-11-03 00:20:23.751067+00,,4993.472998,0,-1,4993.472998
2022-11-03 00:30:40.118052+00,,4993.871998,0,-1,4993.871998
2022-11-03 00:35:23.449342+00,,4993.990998,0,-1,4993.990998
2022-11-03 00:40:23.533426+00,,4993.990998,0,-1,4993.990998
2022-11-03 00:50:23.992933+00,,4994.211598,0,-1,4994.211598
2022-11-03 00:55:23.861149+00,,4994.211598,0,-1,4994.211598
2022-11-03 01:05:23.43207+00,,4994.211598,0,-1,4994.211598
2022-11-03 01:10:23.760308+00,,4994.211598,0,-1,4994.211598
2022-11-03 01:15:39.820341+00,,4994.211598,0,-1,4994.211598
2022-11-03 01:20:23.724461+00,,4994.211598,0,-1,4994.211598
2022-11-03 01:30:39.490034+00,,4994.222982,0,-1,4994.222982
2022-11-03 01:40:23.745171+00,,4994.222982,0,-1,4994.222982
2022-11-03 01:45:40.41676+00,,4994.184156,0,-1,4994.184156
2022-11-03 01:55:23.835821+00,,4994.160598,0,-1,4994.160598
2022-11-03 02:00:40.707676+00,,4994.160598,0,-1,4994.160598
2022-11-03 02:10:23.742265+00,,4994.139668,0,-1,4994.139668
2022-11-03 02:20:24.314555+00,,4994.174952,0,-1,4994.174952
2022-11-03 02:25:24.929623+00,,4994.158447,0,-1,4994.158447
2022-11-03 02:35:23.645881+00,,4994.14842,0,-1,4994.14842
2022-11-03 02:40:23.507827+00,,4994.121968,0,-1,4994.121968
2022-11-03 02:50:23.736588+00,,4994.155668,0,-1,4994.155668
2022-11-03 02:55:23.807393+00,,4994.1726,0,-1,4994.1726
2022-11-03 03:00:40.694083+00,,4994.172442,0,-1,4994.172442
2022-11-03 03:10:24.34232+00,,4994.15591,0,-1,4994.15591
2022-11-03 03:20:24.182343+00,,4994.140332,0,-1,4994.140332
2022-11-03 03:25:26.439843+00,,4994.02075,0,-1,4994.02075
2022-11-03 03:35:22.844376+00,,4994.06731,0,-1,4994.06731
2022-11-03 03:40:24.101305+00,,4994.10971,0,-1,4994.10971
2022-11-03 03:50:24.088589+00,,4994.141183,0,-1,4994.141183
2022-11-03 03:55:24.034923+00,,4994.173009,0,-1,4994.173009
2022-11-03 04:05:23.403218+00,,4994.086082,0,-1,4994.086082
2022-11-03 04:15:24.447892+00,,4993.996897,0,-1,4993.996897
2022-11-03 04:25:23.89682+00,,4994.105582,0,-1,4994.105582
2022-11-03 04:30:40.679932+00,,4994.105582,0,-1,4994.105582
2022-11-03 04:40:23.499056+00,,4994.105582,0,-1,4994.105582
2022-11-03 04:45:39.760648+00,,4994.044193,0,-1,4994.044193
2022-11-03 04:55:22.826341+00,,4994.044193,0,-1,4994.044193
2022-11-03 05:05:24.004673+00,,4994.103223,0,-1,4994.103223
2022-11-03 05:15:39.761171+00,,4994.103223,0,-1,4994.103223
2022-11-03 05:25:23.426101+00,,4994.152123,0,-1,4994.152123
2022-11-03 05:30:40.120387+00,,4994.152123,0,-1,4994.152123
2022-11-03 05:40:23.486832+00,,4994.152123,0,-1,4994.152123
2022-11-03 05:50:23.936418+00,,4994.104961,0,-1,4994.104961
2022-11-03 05:55:23.192719+00,,4994.104961,0,-1,4994.104961
2022-11-03 06:05:23.977726+00,,4994.180852,0,-1,4994.180852
2022-11-03 06:15:39.792127+00,,4994.241701,0,-1,4994.241701
2022-11-03 06:20:23.689962+00,,4994.241701,0,-1,4994.241701
2022-11-03 06:30:40.086767+00,,4994.289647,0,-1,4994.289647
2022-11-03 06:35:23.991573+00,,4994.289647,0,-1,4994.289647
2022-11-03 06:45:23.591651+00,,4994.231447,0,-1,4994.231447
2022-11-03 06:50:23.950605+00,,4994.231447,0,-1,4994.231447
2022-11-03 06:55:24.376237+00,,4994.290829,0,-1,4994.290829
2022-11-03 07:05:22.845101+00,,4994.242947,0,-1,4994.242947
