created_at,instrument,size,entry_price
2022-11-03 00:00:40.426777+00,ETH-USD,0.07,1526.314286
2022-11-03 00:05:24.219035+00,ETH-USD,0.07,1526.314286
2022-11-03 00:10:24.676342+00,ETH-USD,0.07,1526.314286
2022-11-03 00:20:24.08597+00,ETH-USD,0.07,1526.314286
2022-11-03 00:30:40.434409+00,ETH-USD,0.07,1526.314286
2022-11-03 00:35:23.746754+00,ETH-USD,0.07,1526.314286
2022-11-03 00:40:23.847571+00,ETH-USD,0.07,1526.314286
2022-11-03 00:50:24.043267+00,ETH-USD,0,0
2022-11-03 00:55:24.177163+00,ETH-USD,0,0
2022-11-03 01:05:24.620787+00,ETH-USD,0,0
2022-11-03 01:10:24.723032+00,ETH-USD,0,0
2022-11-03 01:15:40.947929+00,ETH-USD,0,0
2022-11-03 01:20:24.286587+00,ETH-USD,0,0
2022-11-03 01:30:39.811682+00,ETH-USD,-0.01,1539.6
2022-11-03 01:40:23.83119+00,ETH-USD,-0.01,1539.6
2022-11-03 01:45:40.716288+00,ETH-USD,-0.01,1539.6
2022-11-03 01:55:24.165467+00,ETH-USD,-0.01,1539.6
2022-11-03 02:00:41.002216+00,ETH-USD,-0.01,1539.6
2022-11-03 02:10:24.06649+00,ETH-USD,-0.01,1539.6
2022-11-03 02:20:24.261135+00,ETH-USD,-0.01,1539.6
2022-11-03 02:25:24.354752+00,ETH-USD,-0.01,1539.6
2022-11-03 02:35:23.731621+00,ETH-USD,-0.01,1539.6
2022-11-03 02:40:23.851965+00,ETH-USD,-0.01,1539.6
2022-11-03 02:50:24.026827+00,ETH-USD,-0.01,1539.6
2022-11-03 02:55:24.132652+00,ETH-USD,-0.01,1539.6
2022-11-03 03:00:41.004706+00,ETH-USD,-0.01,1539.6
2022-11-03 03:10:23.844825+00,ETH-USD,-0.01,1539.6
2022-11-03 03:20:24.024353+00,ETH-USD,-0.01,1539.6
2022-11-03 03:25:25.918543+00,ETH-USD,-0.02,1546.05
2022-11-03 03:35:23.956011+00,ETH-USD,-0.02,1546.05
2022-11-03 03:40:24.649719+00,ETH-USD,-0.02,1546.05
2022-11-03 03:50:24.24903+00,ETH-USD,-0.02,1546.05
2022-11-03 03:55:24.9445+00,ETH-USD,-0.02,1546.05
2022-11-03 04:05:23.714521+00,ETH-USD,-0.02,1546.05
2022-11-03 04:15:23.90827+00,ETH-USD,-0.03,1549.433333
2022-11-03 04:25:24.965098+00,ETH-USD,-0.03,1549.433333
2022-11-03 04:30:40.98548+00,ETH-USD,-0.03,1549.433333
2022-11-03 04:40:23.818719+00,ETH-USD,-0.03,1549.433333
2022-11-03 04:45:40.079798+00,ETH-USD,-0.03,1549.433333
2022-11-03 04:55:23.731668+00,ETH-USD,-0.03,1549.433333
2022-11-03 05:05:24.311228+00,ETH-USD,-0.03,1549.433333
2022-11-03 05:15:40.081941+00,ETH-USD,-0.03,1549.433333
2022-11-03 05:25:23.498019+00,ETH-USD,-0.03,1549.433333
2022-11-03 05:30:41.197971+00,ETH-USD,-0.03,1549.433333
2022-11-03 05:40:23.798971+00,ETH-USD,-0.03,1549.433333
2022-11-03 05:50:24.82554+00,ETH-USD,-0.03,1549.433333
2022-11-03 05:55:24.332296+00,ETH-USD,-0.03,1549.433333
2022-11-03 06:05:24.293146+00,ETH-USD,-0.03,1549.433333
2022-11-03 06:15:40.917999+00,ETH-USD,-0.03,1549.433333
2022-11-03 06:20:23.997948+00,ETH-USD,-0.03,1549.433333
2022-11-03 06:30:40.37539+00,ETH-USD,-0.03,1549.433333
2022-11-03 06:35:24.516689+00,ETH-USD,-0.03,1549.433333
2022-11-03 06:45:24.70649+00,ETH-USD,-0.03,1549.433333
2022-11-03 06:50:24.819907+00,ETH-USD,-0.03,1549.433333
2022-11-03 06:55:24.925697+00,ETH-USD,-0.03,1549.433333
2022-11-03 07:05:23.943776+00,ETH-USD,-0.03,1549.433333
2022-11-03 07:10:24.034518+00,ETH-USD,-0.03,1549.433333
2022-11-03 07:15:39.45404+00,ETH-USD,-0.03,1549.433333
2022-11-03 07:20:25.788324+00,ETH-USD,-0.03,1549.433333
2022-11-03 07:25:24.939125+00,ETH-USD,-0.03,1549.433333
2022-11-03 07:30:41.410864+00,ETH-USD,0,0
2022-11-03 07:40:24.254676+00,ETH-USD,0,0
2022-11-03 07:45:41.491724+00,ETH-USD,0,0
2022-11-03 07:55:24.072732+00,ETH-USD,0,0
2022-11-03 08:05:24.272214+00,ETH-USD,0,0
2022-11-03 08:15:41.281946+00,ETH-USD,0,0
2022-11-03 08:25:24.710673+00,ETH-USD,0.01,1542.3
2022-11-03 08:35:23.669211+00,ETH-USD,0.01,1542.3
2022-11-03 08:45:23.867824+00,ETH-USD,0.01,1542.3
2022-11-03 08:50:23.969872+00,ETH-USD,0.01,1542.3
2022-11-03 08:55:24.072049+00,ETH-USD,0.01,1542.3
2022-11-03 09:05:24.273388+00,ETH-USD,-0.01,1546.6
2022-11-03 09:15:23.884501+00,ETH-USD,-0.01,1546.6
2022-11-03 09:20:23.984453+00,ETH-USD,-0.01,1546.6
2022-11-03 09:30:27.392676+00,ETH-USD,-0.01,1546.6
2022-11-03 09:40:23.829442+00,ETH-USD,-0.01,1546.6
2022-11-03 09:45:40.061868+00,ETH-USD,-0.01,1546.6
2022-11-03 09:55:24.057036+00,ETH-USD,-0.01,1546.6
2022-11-03 10:00:40.930502+00,ETH-USD,-0.01,1546.6
2022-11-03 10:10:23.768287+00,ETH-USD,-0.01,1546.6
2022-11-03 10:20:24.197274+00,ETH-USD,-0.01,1546.6
2022-11-03 10:30:40.946478+00,ETH-USD,-0.01,1546.6
2022-11-03 10:40:23.759805+00,ETH-USD,-0.01,1546.6
2022-11-03 10:50:23.952584+00,ETH-USD,0.01,1542.2
2022-11-03 11:00:24.181159+00,ETH-USD,0.01,1542.2
2022-11-03 11:05:24.25088+00,ETH-USD,0.01,1542.2
2022-11-03 11:15:41.258431+00,ETH-USD,0.01,1542.2
2022-11-03 11:20:23.944225+00,ETH-USD,0.01,1542.2
2022-11-03 11:30:39.72749+00,ETH-USD,0.02,1538.65
2022-11-03 11:35:26.282285+00,ETH-USD,0.02,1538.65
2022-11-03 11:45:40.615087+00,ETH-USD,0.03,1536.566667
2022-11-03 11:55:24.062394+00,ETH-USD,0.04,1533.3
2022-11-03 12:00:41.158687+00,ETH-USD,0.04,1533.3
2022-11-03 12:10:23.97403+00,ETH-USD,0,0
2022-11-03 12:15:40.60319+00,ETH-USD,0,0
2022-11-03 12:20:23.942306+00,ETH-USD,0,0
2022-11-03 12:30:40.362921+00,ETH-USD,0.01,1529.5
2022-11-03 12:35:23.642081+00,ETH-USD,0.01,1529.5
2022-11-03 12:40:24.565335+00,ETH-USD,0.01,1529.5
2022-11-03 12:45:40.647715+00,ETH-USD,0.01,1529.5
2022-11-03 12:55:24.051885+00,ETH-USD,0.01,1529.5
2022-11-03 13:00:43.316076+00,ETH-USD,0.01,1529.5
2022-11-03 13:10:24.340497+00,ETH-USD,-0.01,1533.8
2022-11-03 13:20:22.742314+00,ETH-USD,0.01,1529.5
2022-11-03 13:30:24.972858+00,ETH-USD,-0.01,1533.8
2022-11-03 13:40:24.545848+00,ETH-USD,0.01,1528.9
2022-11-03 13:50:23.946277+00,ETH-USD,-0.02,1540.25
2022-11-03 14:00:39.942001+00,ETH-USD,0.01,1528.7
2022-11-03 14:05:23.884026+00,ETH-USD,-0.01,1533
2022-11-03 14:15:24.434836+00,ETH-USD,-0.02,1535.6
2022-11-03 14:25:24.261337+00,ETH-USD,-0.02,1535.6
2022-11-03 14:35:23.636768+00,ETH-USD,-0.03,1540.866667
2022-11-03 14:40:23.743247+00,ETH-USD,-0.03,1540.866667
2022-11-03 14:50:25.731078+00,ETH-USD,-0.03,1540.866667
2022-11-03 15:00:24.971776+00,ETH-USD,-0.03,1540.866667
2022-11-03 15:05:24.218953+00,ETH-USD,-0.03,1540.866667
2022-11-03 15:15:40.597384+00,ETH-USD,-0.03,1540.866667
2022-11-03 15:20:24.750673+00,ETH-USD,-0.03,1540.866667
2022-11-03 15:30:41.124948+00,ETH-USD,-0.03,1540.866667
