timestamp,exchange,period,instrument,base,quote,price
2022-11-03 00:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1520.24235349878
2022-11-03 00:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1516.51623925655
2022-11-03 00:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1523.86497645862
2022-11-03 00:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1527.81301776222
2022-11-03 01:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1533.94667586433
2022-11-03 01:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1533.58130921282
2022-11-03 01:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1536.21999949022
2022-11-03 01:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1539.40066109871
2022-11-03 02:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1543.33724105314
2022-11-03 02:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1546.00167785988
2022-11-03 02:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1544.39932656037
2022-11-03 02:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1546.36887330136
2022-11-03 03:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1544.22211540798
2022-11-03 03:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1545.31369070307
2022-11-03 03:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1551.66209575211
2022-11-03 03:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1551.32372998134
2022-11-03 04:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1547.61408842879
2022-11-03 04:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1554.1003562638
2022-11-03 04:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1555.08218914971
2022-11-03 04:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1552.69228202943
2022-11-03 05:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1554.67615637981
2022-11-03 05:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1551.31421847787
2022-11-03 05:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1550.47710464555
2022-11-03 05:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1550.85565917544
2022-11-03 06:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1552.32650860824
2022-11-03 06:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1548.41182489433
2022-11-03 06:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1547.37188499413
2022-11-03 06:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1547.96225751352
2022-11-03 07:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1547.62560182645
2022-11-03 07:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1551.40515901056
2022-11-03 07:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1549.92279645793
2022-11-03 07:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1545.02719652748
2022-11-03 08:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1543.31503695415
2022-11-03 08:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1546.19163654243
2022-11-03 08:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1543.40368321452
2022-11-03 08:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1541.81140098625
2022-11-03 09:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1542.71888445901
2022-11-03 09:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1547.46450518934
2022-11-03 09:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1548.66435366282
2022-11-03 09:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1554.23302109641
2022-11-03 10:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1548.65404982956
2022-11-03 10:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1552.62166616747
2022-11-03 10:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1546.00077748361
2022-11-03 10:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1546.56897041306
2022-11-03 11:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1543.64148610073
2022-11-03 11:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1542.51563441109
2022-11-03 11:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1537.18037641003
2022-11-03 11:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1536.08359733148
2022-11-03 12:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1530.22471617843
2022-11-03 12:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1534.64534205305
2022-11-03 12:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1529.76193079453
2022-11-03 12:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1529.81897672077
2022-11-03 13:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1527.34970920811
2022-11-03 13:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1532.57417635892
2022-11-03 13:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1531.07245824176
2022-11-03 13:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1536.67728477936
2022-11-03 14:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1531.39858125645
2022-11-03 14:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1532.91449458462
2022-11-03 14:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1546.54252490011
2022-11-03 14:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1548.6700898835
2022-11-03 15:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1554.22636437838
2022-11-03 15:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1550.14495855597
2022-11-03 15:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1545.15648984184
2022-11-03 15:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1539.48627631554
2022-11-03 16:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1542.99781067478
2022-11-03 16:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1544.7491952816
2022-11-03 16:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1541.80297624752
2022-11-03 16:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1542.31247309719
2022-11-03 17:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1546.38750984714
2022-11-03 17:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1545.25938984204
2022-11-03 17:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1542.21211493787
2022-11-03 17:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1542.51131261858
2022-11-03 18:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1543.13292090913
2022-11-03 18:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1540.21127368738
2022-11-03 18:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1544.93473331708
2022-11-03 18:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1544.95871040616
2022-11-03 19:00:00+00,DYDX,15M,ETH-USD,ETH,USD,1545.81659086324
2022-11-03 19:15:00+00,DYDX,15M,ETH-USD,ETH,USD,1545.42547321656
2022-11-03 19:30:00+00,DYDX,15M,ETH-USD,ETH,USD,1545.45620183031
2022-11-03 19:45:00+00,DYDX,15M,ETH-USD,ETH,USD,1544.76280633902
